date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:40	614835/614835	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:39%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/mid-icco	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/mid-icco.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:40	614031/614031	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:39%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/niefenda	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/niefenda.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:40	620371/620371	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:40%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/niejod-cagamihara	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/niejod-cagamihara.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:41	618920/618920	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:40%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/puder-pudem-wioll	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/puder-pudem-wioll.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:41	612586/612586	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:40%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/raise	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/raise.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:42	615982/615982	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:41%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/sbrf-lxole-acirlon	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/sbrf-lxole-acirlon.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:42	612717/612717	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:41%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/selene-rendofes	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/selene-rendofes.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:42	615875/615875	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:42%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/stlaik-dha-blad	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/stlaik-dha-blad.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:43	617002/617002	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:42%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/stoxiet-elminal-snardze-niv	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/stoxiet-elminal-snardze-niv.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:43	619881/619881	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:42%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/tonir-es-panqa-lapen	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/tonir-es-panqa-lapen.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
